Propagation Factor vs Range (Altitude=100.00 m)

Range(km)			Propagation Factor(dB)
50.000000			-7.555801
50.200000			-6.856580
50.400000			-6.222799
50.600000			-5.618632
50.800000			-5.286834
51.000000			-4.716909
51.200000			-4.715196
51.400000			-4.618709
51.600000			-3.875854
51.800000			-5.076122
52.000000			-4.643828
52.200000			-4.448714
52.400000			-5.113459
52.600000			-2.840473
52.800000			-3.044694
53.000000			-3.447924
53.200000			-0.538578
53.400000			-0.487243
53.600000			-0.578454
53.800000			0.404675
54.000000			3.459815
54.200000			0.866763
54.400000			1.229986
54.600000			3.869757
54.800000			3.509736
55.000000			3.356462
55.200000			3.786443
55.400000			4.095896
55.600000			5.960787
55.800000			7.527232
56.000000			5.470334
56.200000			6.760954
56.400000			8.121801
56.600000			6.972717
56.800000			5.206177
57.000000			5.878269
57.200000			7.585824
57.400000			8.687497
57.600000			8.946993
57.800000			8.543409
58.000000			7.890310
58.200000			7.163487
58.400000			7.232111
58.600000			7.756760
58.800000			8.392356
59.000000			8.795951
59.200000			9.258238
59.400000			9.901866
59.600000			9.653829
59.800000			9.486986
60.000000			10.175129
60.200000			9.222478
60.400000			9.042895
60.600000			8.471102
60.800000			9.401490
61.000000			8.621125
61.200000			8.123995
61.400000			5.813358
61.600000			6.365106
61.800000			7.757690
62.000000			6.779400
62.200000			4.910425
62.400000			2.786174
62.600000			0.767782
62.800000			-1.405272
63.000000			-3.158824
63.200000			-4.696875
63.400000			-5.362268
63.600000			-6.368107
63.800000			-7.867153
64.000000			-9.214237
64.200000			-10.386130
64.400000			-11.046816
64.600000			-11.388439
64.800000			-11.603135
65.000000			-11.766601
65.200000			-11.925304
65.400000			-12.031909
65.600000			-12.121875
65.800000			-12.141378
66.000000			-12.325421
66.200000			-12.351555
66.400000			-12.752728
66.600000			-12.855244
66.800000			-12.898700
67.000000			-13.549505
67.200000			-12.878002
67.400000			-12.928748
67.600000			-12.661837
67.800000			-13.345217
68.000000			-12.640141
68.200000			-10.264998
68.400000			-8.459390
68.600000			-8.837586
68.800000			-9.056598
69.000000			-9.273070
69.200000			-8.392942
69.400000			-6.796787
69.600000			-5.490726
69.800000			-4.696591
70.000000			-4.129151
70.200000			-3.777220
70.400000			-3.395333
70.600000			-2.913010
70.800000			-2.555789
71.000000			-2.316329
71.200000			-1.663124
71.400000			-1.585137
71.600000			-1.139314
71.800000			-0.437031
72.000000			0.158306
72.200000			0.540149
72.400000			0.902135
72.600000			1.631363
72.800000			1.993604
73.000000			2.355479
73.200000			2.786140
73.400000			2.635644
73.600000			1.670019
73.800000			2.098741
74.000000			2.970209
74.200000			3.973678
74.400000			3.948512
74.600000			4.041344
74.800000			4.507016
75.000000			4.318157
75.200000			4.436748
75.400000			4.566353
75.600000			4.777021
75.800000			5.344180
76.000000			5.311925
76.200000			5.523441
76.400000			6.289435
76.600000			7.575879
76.800000			6.682661
77.000000			7.233318
77.200000			9.133688
77.400000			11.030732
77.600000			11.300563
77.800000			9.848345
78.000000			9.451556
78.200000			9.553141
78.400000			9.602685
78.600000			9.609990
78.800000			6.858729
79.000000			9.122490
79.200000			8.104190
79.400000			7.317190
79.600000			9.477049
79.800000			10.730444
80.000000			-Inf
80.200000			-Inf
80.400000			-Inf
80.600000			-Inf
80.800000			-Inf
81.000000			-Inf
81.200000			-Inf
81.400000			-Inf
81.600000			-Inf
81.800000			-Inf
82.000000			-Inf
82.200000			-Inf
82.400000			-Inf
82.600000			-Inf
82.800000			-Inf
83.000000			-Inf
83.200000			-Inf
83.400000			-Inf
83.600000			-Inf
83.800000			-Inf
84.000000			-Inf
84.200000			-Inf
84.400000			-Inf
84.600000			-Inf
84.800000			-Inf
85.000000			-Inf
85.200000			-Inf
85.400000			-Inf
85.600000			-Inf
85.800000			-Inf
86.000000			-Inf
86.200000			-Inf
86.400000			-Inf
86.600000			-Inf
86.800000			-Inf
87.000000			-Inf
87.200000			-Inf
87.400000			-Inf
87.600000			-Inf
87.800000			-Inf
88.000000			-Inf
88.200000			-Inf
88.400000			-Inf
88.600000			-Inf
88.800000			-Inf
89.000000			-Inf
89.200000			-Inf
89.400000			-Inf
89.600000			-Inf
89.800000			-Inf
90.000000			-Inf
90.200000			-Inf
90.400000			-Inf
90.600000			-Inf
90.800000			-Inf
91.000000			-Inf
91.200000			-Inf
91.400000			-Inf
91.600000			-Inf
91.800000			-Inf
92.000000			-Inf
92.200000			-Inf
92.400000			-Inf
92.600000			-Inf
92.800000			-Inf
93.000000			-Inf
93.200000			-Inf
93.400000			-Inf
93.600000			-Inf
93.800000			-Inf
94.000000			-Inf
94.200000			-Inf
94.400000			-Inf
94.600000			-Inf
94.800000			-Inf
95.000000			-Inf
95.200000			-Inf
95.400000			-Inf
95.600000			-Inf
95.800000			-Inf
96.000000			-Inf
96.200000			-Inf
96.400000			-Inf
96.600000			-Inf
96.800000			-Inf
97.000000			-Inf
97.200000			-Inf
97.400000			-Inf
97.600000			-Inf
97.800000			-Inf
98.000000			-Inf
98.200000			-Inf
98.400000			-Inf
98.600000			-Inf
98.800000			-Inf
99.000000			-Inf
99.200000			-Inf
99.400000			-Inf
99.600000			-Inf
99.800000			-Inf
100.000000			-Inf
