Propagation Factor vs Range (Altitude=100.00 m)

Range(km)			Propagation Factor(dB)

0.000000			-Inf
0.200000			-252.966998
0.400000			-151.159465
0.600000			-67.910218
0.800000			-38.263319
1.000000			-24.445783
1.200000			-16.912772
1.400000			-12.368136
1.600000			-9.404892
1.800000			-7.375736
2.000000			-5.901244
2.200000			-4.939454
2.400000			-4.127076
2.600000			-3.666337
2.800000			-3.191570
3.000000			-2.368199
3.200000			-1.456971
3.400000			-1.679191
3.600000			-3.075468
3.800000			0.024757
4.000000			-1.595319
4.200000			-3.720336
4.400000			-2.467785
4.600000			-1.928782
4.800000			-3.105541
5.000000			-4.813758
5.200000			-0.867483
5.400000			2.448389
5.600000			0.151719
5.800000			-3.754485
6.000000			3.052761
6.200000			-4.594458
6.400000			2.710139
6.600000			-2.577432
6.800000			3.004651
7.000000			-5.212431
7.200000			3.799209
7.400000			-5.635113
7.600000			2.591504
7.800000			2.461468
8.000000			-7.177844
8.200000			3.701434
8.400000			2.143269
8.600000			-8.599211
8.800000			3.123600
9.000000			3.778017
9.200000			-4.323478
9.400000			-1.239913
9.600000			4.244781
9.800000			3.319449
10.000000			-4.908368
10.200000			-2.382696
10.400000			3.784608
10.600000			4.410769
10.800000			0.806354
11.000000			-10.601243
11.200000			-0.410038
11.400000			3.985031
11.600000			4.583812
11.800000			2.247199
12.000000			-4.904111
12.200000			-6.345395
12.400000			1.485206
12.600000			4.262274
12.800000			4.600695
13.000000			2.870157
13.200000			-1.692370
13.400000			-10.671589
13.600000			-2.624421
13.800000			2.234100
14.000000			4.253810
14.200000			4.608686
14.400000			3.569369
14.600000			0.883448
14.800000			-4.583102
15.000000			-10.031352
15.200000			-2.491976
15.400000			1.660038
15.600000			3.720793
15.800000			4.560632
16.000000			4.427777
16.200000			3.383979
16.400000			1.235655
16.600000			-2.508648
16.800000			-8.622876
17.000000			-7.825410
17.200000			-2.233994
17.400000			1.049843
17.600000			2.969142
17.800000			3.991925
18.000000			4.341333
18.200000			4.116633
18.400000			3.323478
18.600000			1.930486
18.800000			-0.171547
19.000000			-3.206935
19.200000			-6.893601
19.400000			-7.567085
19.600000			-4.230841
19.800000			-1.175410
20.000000			0.966497
20.200000			2.407900
20.400000			3.337770
20.600000			3.866848
20.800000			4.066458
21.000000			3.963712
21.200000			3.598046
21.400000			2.968832
21.600000			2.081261
21.800000			0.910733
22.000000			-0.602041
22.200000			-2.496533
22.400000			-4.827742
22.600000			-7.316807
22.800000			-8.686029
23.000000			-7.619334
23.200000			-5.353686
23.400000			-3.263982
23.600000			-1.596039
23.800000			-0.322156
24.000000			0.607091
24.200000			1.276486
24.400000			1.735470
24.600000			1.989329
24.800000			2.061549
25.000000			1.988535
25.200000			1.796877
25.400000			1.540340
25.600000			1.317207
25.800000			1.225079
26.000000			1.327313
26.200000			1.653456
26.400000			2.188070
26.600000			2.859720
26.800000			3.572418
27.000000			4.255546
27.200000			4.874749
27.400000			5.404025
27.600000			5.810183
27.800000			6.069334
28.000000			6.180183
28.200000			6.151892
28.400000			5.988821
28.600000			5.698020
28.800000			5.303811
29.000000			4.840517
29.200000			4.333227
29.400000			3.805515
29.600000			3.315922
29.800000			2.963593
30.000000			2.830886
30.200000			2.929712
30.400000			3.216490
30.600000			3.628412
30.800000			4.093367
31.000000			4.542701
31.200000			4.935327
31.400000			5.264455
31.600000			5.538129
31.800000			5.755896
32.000000			5.904632
32.200000			5.972739
32.400000			5.962164
32.600000			5.885188
32.800000			5.752989
33.000000			5.569949
33.200000			5.339879
33.400000			5.076378
33.600000			4.804273
33.800000			4.548186
34.000000			4.316205
34.200000			4.107004
34.400000			3.914795
34.600000			3.741908
34.800000			3.599824
35.000000			3.497379
35.200000			3.427187
35.400000			3.354037
35.600000			3.279345
35.800000			3.197129
36.000000			3.106979
36.200000			3.033683
36.400000			2.944573
36.600000			2.834181
36.800000			2.679502
37.000000			2.511460
37.200000			2.305438
37.400000			2.107291
37.600000			1.932655
37.800000			1.791860
38.000000			1.657413
38.200000			1.557228
38.400000			1.478521
38.600000			1.448321
38.800000			1.420938
39.000000			1.465818
39.200000			1.481053
39.400000			1.509324
39.600000			1.482913
39.800000			1.453404
40.000000			1.342857
40.200000			1.253415
40.400000			1.108598
40.600000			0.943448
40.800000			0.792906
41.000000			0.652372
41.200000			0.507808
41.400000			0.321083
41.600000			0.110582
41.800000			-0.144073
42.000000			-0.416894
42.200000			-0.684439
42.400000			-0.958201
42.600000			-1.193988
42.800000			-1.533422
43.000000			-1.926395
43.200000			-2.295010
43.400000			-2.630820
43.600000			-3.016156
43.800000			-3.457735
44.000000			-3.843884
44.200000			-4.104420
44.400000			-4.293744
44.600000			-4.517117
44.800000			-4.785296
45.000000			-5.163540
45.200000			-5.550048
45.400000			-5.892290
45.600000			-6.171649
45.800000			-6.403422
46.000000			-6.684533
46.200000			-7.087330
46.400000			-7.623525
46.600000			-8.356488
46.800000			-9.319148
47.000000			-10.394244
47.200000			-11.622344
47.400000			-12.975367
47.600000			-14.262678
47.800000			-15.621843
48.000000			-16.493484
48.200000			-16.777735
48.400000			-16.440916
48.600000			-15.642113
48.800000			-14.470309
49.000000			-13.376972
49.200000			-11.935442
49.400000			-10.562274
49.600000			-9.547923
49.800000			-8.453076
