Path Loss vs Range (Altitude=100.00 m)

Range(km)			Path Loss(dB)	Free-space loss(dB)

0.000000			NaN			-Inf
0.200000			353.982095			88.013025
0.400000			261.205462			94.033625
0.600000			183.238953			97.555450
0.800000			157.340216			100.054225
1.000000			146.429980			101.992425
1.200000			141.272407			103.576050
1.400000			138.736174			104.914986
1.600000			137.512689			106.074825
1.800000			137.018108			107.097875
2.000000			136.916341			108.013025
2.200000			137.196332			108.840879
2.400000			137.517611			109.596650
2.600000			138.099735			110.291892
2.800000			138.590508			110.935586
3.000000			138.666034			111.534850
3.200000			138.595668			112.095425
3.400000			139.607756			112.622003
3.600000			141.748740			113.118475
3.800000			139.352948			113.588097
4.000000			141.641316			114.033625
4.200000			144.402012			114.457411
4.400000			143.755562			114.861479
4.600000			143.795715			115.247582
4.800000			145.526975			115.617250
5.000000			147.767055			115.971825
5.200000			144.331780			116.312492
5.400000			141.507621			116.640300
5.600000			144.278119			116.956186
5.800000			148.641522			117.260985
6.000000			142.275974			117.555450
6.200000			150.350406			117.840259
6.400000			143.459458			118.116025
6.600000			149.147948			118.383304
6.800000			143.954814			118.642603
7.000000			152.549569			118.894386
7.200000			143.904963			119.139075
7.400000			153.696261			119.377059
7.600000			145.817101			119.608697
7.800000			146.285567			119.834317
8.000000			156.254741			120.054225
8.200000			145.697178			120.268702
8.400000			147.569307			120.478011
8.600000			158.618361			120.682394
8.800000			147.195077			120.882079
9.000000			146.833455			121.077275
9.200000			155.221310			121.268182
9.400000			152.417945			121.454982
9.600000			147.207554			121.637850
9.800000			148.401531			121.816947
10.000000			156.892565			121.992425
10.200000			154.624898			122.164429
10.400000			148.710589			122.333092
10.600000			148.332604			122.498542
10.800000			152.180556			122.660900
11.000000			163.827220			122.820279
11.200000			153.870776			122.976786
11.400000			149.706312			123.130522
11.600000			149.334125			123.281585
11.800000			151.893459			123.430065
12.000000			159.263746			123.576050
12.200000			160.920387			123.719622
12.400000			153.301642			123.860859
12.600000			150.733040			123.999836
12.800000			150.599801			124.136624
13.000000			152.532341			124.271292
13.200000			157.293786			124.403904
13.400000			166.468930			124.534521
13.600000			158.614786			124.663203
13.800000			153.946470			124.790007
14.000000			152.114228			124.914986
14.200000			151.944161			125.038192
14.400000			153.165703			125.159675
14.600000			156.031335			125.279482
14.800000			161.675151			125.397659
15.000000			167.298287			125.514250
15.200000			159.931481			125.629297
15.400000			155.949781			125.742840
15.600000			154.057142			125.854917
15.800000			153.383278			125.965567
16.000000			153.680020			126.074825
16.200000			154.885669			126.182725
16.400000			157.193857			126.289302
16.600000			161.096088			126.394587
16.800000			167.366352			126.498611
17.000000			166.723075			126.601404
17.200000			161.284045			126.702994
17.400000			158.150832			126.803410
17.600000			156.380435			126.902678
17.800000			155.504873			127.000825
18.000000			155.301040			127.097875
18.200000			155.669706			127.193853
18.400000			156.605254			127.288782
18.600000			158.139100			127.382684
18.800000			160.380480			127.475582
19.000000			163.553741			127.567497
19.200000			167.376835			127.658450
19.400000			168.185334			127.748460
19.600000			164.982720			127.837547
19.800000			162.059563			127.925729
20.000000			160.048600			128.013025
20.200000			158.736838			128.099452
20.400000			157.935332			128.185028
20.600000			157.533366			128.269770
20.800000			157.459640			128.353692
21.000000			157.687064			128.436811
21.200000			158.176227			128.519142
21.400000			158.927778			128.600701
21.600000			159.936548			128.681500
21.800000			161.227159			128.761555
22.000000			162.858918			128.840879
22.200000			164.871319			128.919485
22.400000			167.319380			128.997385
22.600000			169.924258			129.074594
22.800000			171.408271			129.151122
23.000000			170.455366			129.226982
23.200000			168.302523			129.302185
23.400000			166.324655			129.376742
23.600000			164.767596			129.450665
23.800000			163.603662			129.523964
24.000000			162.783444			129.596650
24.200000			162.222172			129.668732
24.400000			161.870422			129.740222
24.600000			161.722922			129.811127
24.800000			161.756199			129.881459
25.000000			161.933862			129.951225
25.200000			162.229336			130.020436
25.400000			162.588869			130.089099
25.600000			162.914189			130.157224
25.800000			163.107710			130.224819
26.000000			163.106085			130.291892
26.200000			162.879780			130.358451
26.400000			162.444245			130.424504
26.600000			161.870927			130.490058
26.800000			161.255823			130.555121
27.000000			160.669565			130.619700
27.200000			160.146515			130.683803
27.400000			159.712689			130.747436
27.600000			159.401287			130.810607
27.800000			159.236207			130.873321
28.000000			159.218755			130.935586
28.200000			159.339778			130.997407
28.400000			159.594926			131.058792
28.600000			159.977158			131.119746
28.800000			160.462161			131.180275
29.000000			161.015621			131.240385
29.200000			161.612456			131.300082
29.400000			162.229103			131.359372
29.600000			162.807027			131.418259
29.800000			163.247092			131.476750
30.000000			163.466949			131.534850
30.200000			163.454694			131.592564
30.400000			163.253915			131.649897
30.600000			162.927428			131.706854
30.800000			162.547352			131.763439
31.000000			162.182347			131.819659
31.200000			161.873508			131.875517
31.400000			161.627631			131.931018
31.600000			161.436681			131.986167
31.800000			161.301114			132.040967
32.000000			161.234065			132.095425
32.200000			161.247134			132.149543
32.400000			161.338383			132.203325
32.600000			161.495537			132.256777
32.800000			161.707424			132.309902
33.000000			161.969666			132.362704
33.200000			162.278461			132.415187
33.400000			162.620213			132.467354
33.600000			162.970103			132.519211
33.800000			163.303512			132.570759
34.000000			163.612360			132.622003
34.200000			163.897977			132.672947
34.400000			164.166156			132.723594
34.600000			164.414572			132.773947
34.800000			164.631750			132.824010
35.000000			164.808860			132.873786
35.200000			164.953290			132.923278
35.400000			165.100258			132.972490
35.600000			165.248352			133.021425
35.800000			165.403559			133.070086
36.000000			165.566293			133.118475
36.200000			165.711771			133.166597
36.400000			165.872666			133.214453
